符合條件商品
資料日期：2026年  4月 30日
策略,	5-10-20向上
"序號","代碼","商品","成交","漲幅%","總量","現價","股本(億)","20日均量","60日外資增減(張)","產業",細產業
88	,"1590.TW","亞德客-KY","1455","-2.35","2745","1455","20","1648","1942","上市電機機械",機械零組件,氣動元件
89	,"3438.TW","類比科","54.9","-2.49","439","54.9","4.7","402","359","上櫃半導體",IC設計,MCU,電源管理IC
90	,"3057.TW","喬鼎","20.15","-2.66","2377","20.15","6.8","579","441","上市電腦及週邊設備",週邊產品,磁碟陣列控制器
91	,"6117.TW","迎廣","88.1","-2.87","1822","88.1","9.3","1208","1167","上市電腦及週邊設備",伺服器機殼,機殼,電子零件元件,伺服器,電腦系統業
92	,"8040.TW","九暘","67.7","-3.01","1452","67.7","9.6","1984","9","上櫃半導體",無線網路IC,IC設計,網路通訊IC
93	,"4933.TW","友輝","73.6","-3.16","3603","73.6","8.3","989","97","上櫃光電",面板零組件,光學膜
94	,"3028.TW","增你強","68.3","-3.26","5772","68.3","23.7","6611","12186","上市電子通路",IC零組件通路商,電子元件代理商,電子通路
95	,"2243.TW","宏旭-KY","27.25","-3.37","2173","27.25","6.9","1746","1759","上市汽車",汽機車零組件
96	,"3224.TW","三顧","50.6","-3.62","1851","50.6","7.8","475","70","上櫃電子通路",連接器,電子零件元件,電子元件代理商,電子通路
97	,"7751.TW","竑騰","2420","-4.35","110","2420","2.7","501","163","上櫃半導體",設備儀器商,封測用設備
98	,"3152.TW","璟德","171","-5","8099","171","6.9","2268","1547","上櫃通信網路",網通設備,通訊設備零組件
99	,"7769.TW","鴻勁","4945","-5.27","1414","4945","18","1290","9112","上市半導體",設備儀器商,封測用設備
100	,"6205.TW","詮欣","86.5","-5.67","25283","86.5","8.2","6804","1380","上市電子零組件",連接器,電子零件元件,連接線材
101	,"4720.TW","德淵","26.4","-6.88","7817","26.4","11.5","9081","1069","上市化工",熱熔膠,化學工業
102	,"6441.TW","廣錠","29.4","-8.41","1780","29.4","5.3","667","35","上櫃電腦及週邊設備",工業用電池,電池,儲能設備,工業電腦,博奕機台,車用充電相關,電力設備
